# Bias (mV)   Current(uA)

-0.2016       1.88594E-4
0.93055       3.27262E-4
2.06192       5.58377E-4
3.19359       7.5354E-4
4.32511       9.67535E-4
5.45693       0.00115
6.58977       0.0012
7.72252       0.00127
8.85528       0.00134
9.9884        0.00137
11.12133      0.00141
12.25381      0.00151
13.38576      0.00168
14.51826      0.00177
15.65062      0.00189
16.78275      0.00203
17.91435      0.00223
19.03793      0.00338
20.1645       0.00418
21.29232      0.00482
22.4221       0.00524
23.55486      0.00531
24.69098      0.00498
25.82974      0.00434
26.96342      0.0043
28.09319      0.00472
29.22252      0.00519
30.35173      0.00568
31.48139      0.00611
32.61173      0.00646
33.74102      0.00694
34.87053      0.00739
35.99949      0.0079
37.12802      0.00847
38.25739      0.00893
39.38753      0.00931
40.51729      0.00973
41.6466       0.0102
42.77651      0.01061
43.90519      0.01115
45.03418      0.01166
46.16084      0.01245
47.28646      0.01336
48.41041      0.01446
49.53142      0.01591
50.65288      0.01731
51.77329      0.01883
52.89755      0.0199
54.02206      0.02093
55.1441       0.02226
56.26799      0.02337
57.3873       0.02502
58.5056       0.02679
59.61954      0.02907
60.73627      0.03103
61.84947      0.0334
62.96121      0.03594
64.07291      0.03848
65.18814      0.04061
66.2992       0.04323
67.4114       0.04572
68.52021      0.0486
69.62154      0.05237
70.72071      0.05639
71.82542      0.05976
72.92679      0.06351
74.02503      0.06764
75.11319      0.07296
76.20126      0.07828
77.29004      0.08352
78.38         0.08863
79.46029      0.09487
80.54147      0.101
